"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000018583"	1.25998204857299	0.302260581240653	0.670001900759904	-0.0270388231415369	0.487708146424713	"27041"	"G3bp1"	"GTPase activating protein (SH3 domain) binding protein 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000037331"	1.28880189619668	0.608721378428475	0.204951160346325	-1.67146059715178e-05	0.556825844317756	"73158"	"Larp1"	"La ribonucleoprotein domain family, member 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000078853"	1.68224379083487	0.316806982206979	0.80523385625107	-0.00303123497363846	0.0860813970606553	"16145"	"Igtp"	"interferon gamma induced GTPase"	"no"	"others"	"cluster 3"
"ENSMUSG00000032691"	1.29553382256785	0.284048330159705	-0.107212130498925	-0.0105205334647018	0.377021467253137	"216799"	"Nlrp3"	"NLR family, pyrin domain containing 3"	"no"	"others"	"cluster 3"
"ENSMUSG00000032633"	-1.35395589855662	-0.510022049243388	-0.388452803463054	7.49349772844855e-06	-0.648489394841333	"216805"	"Flcn"	"folliculin"	"no"	"others"	"cluster 7"
"ENSMUSG00000010142"	-1.41329997127974	-0.541901343091412	0.0171744588721223	-0.00360510377142298	-0.522420445441175	"57916"	"Tnfrsf13b"	"tumor necrosis factor receptor superfamily, member 13b"	"no"	"others"	"cluster 6"
"ENSMUSG00000004837"	-1.20173434210252	-0.454925818993916	-0.295505302742885	-0.00730958341978883	-0.430915668408564	"71520"	"Grap"	"GRB2-related adaptor protein"	"no"	"others"	"cluster 6"
"ENSMUSG00000020528"	-1.53172328927246	-0.833958938343848	-0.745799680004269	-0.00169616464209097	-1.00378529817344	"212627"	"Prpsap2"	"phosphoribosyl pyrophosphate synthetase-associated protein 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000004798"	-1.15778092476641	-0.446103480914164	-0.101025892903198	-0.000567009656888214	-0.114157603713703	"29869"	"Ulk2"	"unc-51 like kinase 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000018217"	-2.07471352595828	-0.358542265957182	-0.235706813844451	-0.0175025822985782	-0.836105017268208	"18858"	"Pmp22"	"peripheral myelin protein 22"	"no"	"others"	"cluster 7"
"ENSMUSG00000042148"	1.28748087142431	0.322683634463736	0.00185521145669364	-0.00628225106380838	0.189295338194823	"70383"	"Cox10"	"cytochrome c oxidase assembly protein 10"	"no"	"others"	"cluster 3"
"ENSMUSG00000020901"	1.21545705800191	0.332530151359216	0.343012160202552	0.00180887944611266	0.70393094428186	"320207"	"Pik3r5"	"phosphoinositide-3-kinase regulatory subunit 5"	"no"	"others"	"cluster 3"
"ENSMUSG00000046207"	1.25487015796136	0.825546369583762	0.250961885898108	0.00471689530686491	0.403680235018945	"104709"	"Pik3r6"	"phosphoinositide-3-kinase regulatory subunit 5"	"no"	"others"	"cluster 3"
"ENSMUSG00000020898"	-1.32246779179655	-0.714383739786782	-0.200380928514234	0.00154779624814421	-0.115173814216346	"68964"	"Ctc1"	"CTS telomere maintenance complex component 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000020893"	1.53830294906614	0.846920856615189	1.162266812437	0.00958010973454774	0.371124701173073	"18626"	"Per1"	"period circadian clock 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000018476"	2.0093885983232	0.950608180207331	-0.0245648883188963	-0.0377146195395352	-0.0330012034114246	"216850"	"Kdm6b"	"KDM1 lysine (K)-specific demethylase 6B"	"no"	"PC2"	"cluster 3"
"ENSMUSG00000059796"	1.69468297426748	0.162185024645189	0.367744408468561	-0.00317713009286333	0.341387882901304	"13681"	"Eif4a1"	"eukaryotic translation initiation factor 4A1"	"no"	"others"	"cluster 3"
"ENSMUSG00000005198"	1.06044190947608	0.11277206709911	0.115878391387524	-0.00543672601873092	-0.0660739399317006	"20020"	"Polr2a"	"polymerase (RNA) II (DNA directed) polypeptide A"	"no"	"others"	"cluster 3"
"ENSMUSG00000078812"	1.27983657969543	0.493385014161657	0.499292917237767	-0.00550689911201283	0.506658404028509	"276770"	"Eif5a"	"eukaryotic translation initiation factor 5A"	"no"	"others"	"cluster 3"
"ENSMUSG00000018920"	1.89310186403787	0.548453911689545	2.06798736156381	0.00978714657974703	0.83679995366875	"66102"	"Cxcl16"	"chemokine (C-X-C motif) ligand 16"	"no"	"PC1"	"cluster 2"
"ENSMUSG00000040746"	-1.11059526579269	-0.542080826167749	-0.271382273141623	0.000184243857793248	-0.37911354434628	"70510"	"Rnf167"	"ring finger protein 167"	"no"	"others"	"cluster 6"
"ENSMUSG00000018446"	1.22966130014735	0.0418133329495776	0.490029337378445	0.00110840814007113	0.385889813690641	"12261"	"C1qbp"	"complement component 1, q subcomponent binding protein"	"no"	"others"	"cluster 3"
"ENSMUSG00000040463"	1.93265375989559	0.49172424297313	0.305103210462098	0.040808907739961	1.00228142820204	"18432"	"Mybbp1a"	"MYB binding protein (P160) 1a"	"no"	"others"	"cluster 2"
"ENSMUSG00000040447"	0.263515473716628	-0.169433200128272	1.03977080787124	0.00523328038456549	0.119193319908236	"216892"	"Spns2"	"spinster homolog 2"	"no"	"others"	"cluster 4"
"ENSMUSG00000045287"	-2.93042100924801	-0.708820935373912	-0.563793267486002	-0.00165167746447013	-0.897236708296213	"237847"	"Rtn4rl1"	"reticulon 4 receptor-like 1"	"no"	"shared"	"cluster 8"
"ENSMUSG00000000753"	-0.610068471421691	-0.451216063623476	-0.612510845192609	-0.0323945007226488	-2.37542178323801	"20317"	"Serpinf1"	"serine (or cysteine) peptidase inhibitor, clade F, member 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000020841"	2.74383415596445	2.02571799598556	1.79814595859259	0.00935639472785368	1.69525570520735	"12874"	"Cpd"	"carboxypeptidase D"	"no"	"shared"	"cluster 1"
"ENSMUSG00000000631"	-1.49947943613714	-0.188651085715942	-0.41588482415008	-0.00318627645364883	-0.891009828954208	"360013"	"Myo18a"	"myosin XVIIIA"	"no"	"others"	"cluster 7"
"ENSMUSG00000020829"	-1.81132659949887	-0.57553844333307	0.311064894114932	-0.00333072535866598	-0.519117617983893	"52466"	"Slc46a1"	"solute carrier family 46, member 1"	"no"	"PC2"	"cluster 6"
"ENSMUSG00000035385"	3.58684562127756	1.57005428879754	2.08647783266697	0.0046628562063179	0.605142553968459	"20296"	"Ccl2"	"chemokine (C-C motif) ligand 2"	"no"	"shared"	"cluster 1"
"ENSMUSG00000035352"	4.37483604015227	1.50996470701236	2.57005007836968	-0.00190511110540234	0.214301166481352	"20293"	"Ccl12"	"chemokine (C-C motif) ligand 12"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000035208"	1.60670482897279	0.575968871351057	0.455389396270539	0.0232316378810606	0.101636876877267	"276950"	"Slfn8"	"schlafen 8"	"no"	"others"	"cluster 3"
"ENSMUSG00000072620"	3.1798579558723	2.2098957571171	2.26404913343693	-0.000972785589072633	0.787945816782066	"20556"	"Slfn2"	"schlafen 2"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000035042"	5.49375039699758	3.98007292746358	4.65162045121575	-0.000722681005361503	0.550632377917303	"20304"	"Ccl5"	"chemokine (C-C motif) ligand 5"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000019122"	3.2299178246532	0.324703686945708	0.301552146514886	-0.0207560762331861	-0.697761734432798	"20308"	"Ccl9"	"chemokine (C-C motif) ligand 9"	"no"	"PC2"	"cluster 3"
"ENSMUSG00000000982"	1.64848172425635	1.43508570788175	0.458538632161501	0.000278751503507436	0.0904380224498137	"20302"	"Ccl3"	"chemokine (C-C motif) ligand 3"	"no"	"shared"	"cluster 3"
"ENSMUSG00000018930"	1.83688581189475	0.963561245275777	0.75403194027565	0.00261380866521322	-0.0447692939576841	"20303"	"Ccl4"	"chemokine (C-C motif) ligand 4"	"no"	"shared"	"cluster 2"
"ENSMUSG00000018171"	1.28530133820145	0.740399458078807	1.29354404001524	0.000428882648210192	0.866677663875342	"75909"	"Vmp1"	"vacuole membrane protein 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000037601"	1.57221116197053	0.354192301081158	1.13159491285919	0.00507936513289166	0.807034966883087	"18102"	"Nme1"	"NME/NM23 nucleoside diphosphate kinase 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000020869"	1.46764844574769	0.293650513680606	0.458761322387234	0.000292994255015679	0.45263767896663	"98238"	"Lrrc59"	"leucine rich repeat containing 59"	"no"	"others"	"cluster 3"
"ENSMUSG00000038437"	1.31481998072733	0.563275192209377	-0.182693941038864	-0.00219398333140723	0.0995864068594596	"246198"	"Mllt6"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6"	"no"	"others"	"cluster 3"
"ENSMUSG00000017417"	-2.58837135498503	-0.65456014629112	-0.156032541842617	-0.000253828259247461	-0.306666051578619	"72324"	"Plxdc1"	"plexin domain containing 1"	"no"	"shared"	"cluster 8"
"ENSMUSG00000020883"	-1.88035425160249	-0.378957773675801	0.463583304389973	-0.0045714523363956	-0.0627990023496995	"72194"	"Fbxl20"	"F-box and leucine-rich repeat protein 20"	"no"	"others"	"cluster 6"
"ENSMUSG00000019173"	0.731812065331846	0.0861322793695716	1.01468818538794	-0.00205621142148768	0.0870750656982567	"19345"	"Rab5c"	"RAB5C, member RAS oncogene family"	"no"	"others"	"cluster 4"
"ENSMUSG00000004040"	1.25403658810154	0.941180051633767	0.618842766211473	-8.00274545594618e-05	0.828342396183335	"20848"	"Stat3"	"signal transducer and activator of transcription 3"	"no"	"others"	"cluster 2"
"ENSMUSG00000001751"	-1.56728752494124	-0.329742011537799	0.219739190890545	-0.00284618384717924	-0.132530146710349	"27419"	"Naglu"	"alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"	"no"	"others"	"cluster 6"
"ENSMUSG00000010358"	1.56624382135644	0.598908826093226	0.445555192920067	-0.000817216705131415	0.25435011629813	"70110"	"Ifi35"	"interferon-induced protein 35"	"no"	"others"	"cluster 3"
"ENSMUSG00000017119"	-1.12598424876268	-0.243921404518232	-0.299922589499038	-0.00755784388034312	-0.35074871605069	"17966"	"Nbr1"	"neighbor of Brca1 gene 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000034947"	1.47689797254058	0.793660905125182	2.33322786987452	0.0125410785877693	1.09723298468132	"217203"	"Tmem106a"	"transmembrane protein 106A"	"no"	"others"	"cluster 4"
"ENSMUSG00000008855"	-2.39765184690401	-0.527461503936529	-0.166452590136292	-0.0198947532553545	-0.982278993067484	"15184"	"Hdac5"	"histone deacetylase 5"	"no"	"others"	"cluster 8"
"ENSMUSG00000034708"	-0.431268983919121	0.0624868225532387	1.06215854942885	-0.00493898026434283	-0.0303828780960725	"14824"	"Grn"	"granulin"	"no"	"others"	"cluster 5"
"ENSMUSG00000048878"	1.48290704130763	0.215398782391055	0.0487655032583925	-0.0044475944642121	-0.195414179243248	"192231"	"Hexim1"	"hexamethylene bis-acetamide inducible 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000020689"	-1.87723828218418	-0.342562325354812	-0.562390443346981	-0.0065894705833554	0.0231844848049149	"16416"	"Itgb3"	"integrin beta 3"	"no"	"others"	"cluster 6"
"ENSMUSG00000020706"	1.77232745567644	0.297275597754118	0.202715748222128	0.00726729738220969	0.907704441365739	"56095"	"Ftsj3"	"FtsJ RNA methyltransferase homolog 3 (E. coli)"	"no"	"others"	"cluster 3"
"ENSMUSG00000065126"	1.19408283508187	0.469450012571916	-0.526180219950505	1.65128017103792e-05	0.0496571588540557	"100216537"	"Snord104"	"small nucleolar RNA, C/D box 104"	"no"	"others"	"cluster 3"
"ENSMUSG00000040528"	1.18820830025399	1.45776858270773	1.45076714993762	0.00127452014536311	0.918579882423979	"380732"	"Milr1"	"mast cell immunoglobulin like receptor 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000040430"	-2.13977171992275	-0.437659856930031	-0.626620191858635	0.00253666773817445	-0.137142016946985	"71795"	"Pitpnc1"	"phosphatidylinositol transfer protein, cytoplasmic 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000020720"	1.11651676059847	0.343115450730282	0.0682642135000296	-0.0040079972734288	0.19876624995688	"66997"	"Psmd12"	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	"no"	"others"	"cluster 3"
"ENSMUSG00000020604"	-1.04343416412448	-0.430783987227442	-0.0139627909214554	0.00439215869475606	0.36628387542599	"74008"	"Arsg"	"arylsulfatase G"	"no"	"others"	"cluster 6"
"ENSMUSG00000041797"	-1.94037003397147	-0.0560019940120911	-0.198212142827034	0.00680691042999314	-0.238276605111135	"217262"	"Abca9"	"ATP-binding cassette, sub-family A (ABC1), member 9"	"no"	"others"	"cluster 6"
"ENSMUSG00000034652"	-1.94481230327001	-0.680788555839438	-0.417319405952961	-0.00023875172387196	-0.405311819402831	"217303"	"Cd300a"	"CD300A molecule"	"no"	"others"	"cluster 7"
"ENSMUSG00000044811"	-1.36891294719686	-0.475016558636375	0.230515492648887	0.00304560509726715	-0.165825801526293	"140497"	"Cd300c2"	"CD300C molecule 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000047798"	3.94502838146587	3.22639592721292	3.30245432005226	0.00553608077573277	4.63388830951282	"246746"	"Cd300lf"	"CD300 molecule like family member F"	"no"	"shared"	"cluster 1"
"ENSMUSG00000020733"	1.08093781709966	0.580378239124809	0.386892654734247	8.60508328546635e-06	0.299317943301342	"26941"	"Slc9a3r1"	"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000045980"	1.25205698677169	0.594972900594508	0.277506422466102	-8.21093633636049e-06	0.470845651943941	"320534"	"Tmem104"	"transmembrane protein 104"	"no"	"others"	"cluster 3"
"ENSMUSG00000020736"	0.206686321066737	0.283585848038168	0.710250706430643	0.00674913774650344	1.16254002085011	"50773"	"Nt5c"	"5',3'-nucleotidase, cytosolic"	"no"	"others"	"cluster 4"
"ENSMUSG00000034120"	1.16009666387486	0.0693266164274319	0.384083142199254	0.00057656900737434	0.242727697785247	"20382"	"Srsf2"	"serine/arginine-rich splicing factor 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000020818"	-1.18667607267511	-0.314617106954425	0.0334376728831348	0.0119861093551321	-0.105711247393004	"69900"	"Mfsd11"	"major facilitator superfamily domain containing 11"	"no"	"others"	"cluster 6"
"ENSMUSG00000020823"	-1.24216743257493	-0.415232850153686	-0.380954189164503	-0.0016690173233139	-0.382456790912917	"74136"	"Sec14l1"	"SEC14-like lipid binding 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000017713"	1.29931175110421	0.0597904004090756	0.810513401816035	0.019145078910216	1.38422931701592	"71776"	"Tha1"	"threonine aldolase 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000053113"	2.84640394379034	1.14811936591239	2.36885287485313	-0.000713635286288499	0.82117820288243	"12702"	"Socs3"	"suppressor of cytokine signaling 3"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000017715"	1.6703206899169	0.44202931548249	1.50939523604397	0.000330508391824823	0.907792708688166	"74451"	"Pgs1"	"phosphatidylglycerophosphate synthase 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000017466"	-1.11004993277656	-0.276292932286499	0.0647357123871561	0.00300767387133943	-0.288950727003303	"21858"	"Timp2"	"tissue inhibitor of metalloproteinase 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000033880"	1.34680008005444	1.49790389921439	2.44516356239291	-0.00112412718813121	0.493928746795364	"19039"	"Lgals3bp"	"lectin, galactoside-binding, soluble, 3 binding protein"	"no"	"PC2"	"cluster 2"
"ENSMUSG00000039976"	-1.58766305966728	-0.33304119503759	0.0194008503776085	0.00446898955812095	-0.161350781891234	"207592"	"Tbc1d16"	"TBC1 domain family, member 16"	"no"	"others"	"cluster 6"
"ENSMUSG00000070327"	2.22375087505918	0.659219589783908	1.92263141208173	0.003490227558492	0.0463447719809058	"672511"	"Rnf213"	"ring finger protein 213"	"no"	"others"	"cluster 2"
"ENSMUSG00000039640"	1.2509921776771	0.336957746121339	0.292019453529593	0.00599916226971687	0.48381406992318	"56282"	"Mrpl12"	"mitochondrial ribosomal protein L12"	"no"	"others"	"cluster 3"
"ENSMUSG00000025130"	0.750384648387763	0.202744136473831	1.26069687845278	6.45866183985064e-05	0.906197308039471	"18453"	"P4hb"	"prolyl 4-hydroxylase, beta polypeptide"	"no"	"others"	"cluster 4"
"ENSMUSG00000050244"	2.0811893198712	0.545110313361644	0.676424615391227	-0.0203965547519918	0.771706891255108	"217995"	"Heatr1"	"HEAT repeat containing 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000041236"	-1.04060098490304	-0.184941046898859	-0.207801413959173	-0.00289084793048608	-0.482275343957568	"218035"	"Vps41"	"VPS41 HOPS complex subunit"	"no"	"others"	"cluster 6"
"ENSMUSG00000041112"	-1.77660100236984	-0.614437987043471	-1.13108565890356	-0.00387111103585319	-1.11880541057683	"140580"	"Elmo1"	"engulfment and cell motility 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000018102"	-1.07495061881762	0.161893106399754	0.192011366935176	-0.00123236956190534	-0.618119401391535	"68024"	"Hist1h2bc"	"histone cluster 1, H2bc"	"no"	"others"	"cluster 6"
"ENSMUSG00000006611"	-0.0658058578431162	-0.198081233322426	1.26885008999687	-0.00381382423787713	0.174261065640828	"15216"	"Hfe"	"hemochromatosis"	"no"	"others"	"cluster 4"
"ENSMUSG00000036181"	-1.02385455503054	-0.547837052957836	0.29016523372253	0.00480733364859756	-0.188359082236041	"50708"	"Hist1h1c"	"histone cluster 1, H1c"	"no"	"others"	"cluster 6"
"ENSMUSG00000076431"	-1.6735021134759	-0.492454588696551	-2.87157341650426	-0.00279552851411255	-1.49210559813374	"20677"	"Sox4"	"SRY (sex determining region Y)-box 4"	"no"	"shared"	"cluster 7"
"ENSMUSG00000021423"	-0.687098678530193	-0.278784515634218	-0.0896854346977665	-0.000153329999875579	-1.04772504316072	"17084"	"Ly86"	"lymphocyte antigen 86"	"no"	"others"	"cluster 6"
"ENSMUSG00000021360"	2.93954299186338	0.47227097420649	1.81924585608597	0.0254593675454195	3.32012787576587	"14538"	"Gcnt2"	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"	"no"	"shared"	"cluster 1"
"ENSMUSG00000021384"	-3.667357010476	-0.828138059539114	-0.22338135449457	-0.00415886032311159	-0.927830240936264	"66329"	"Susd3"	"sushi domain containing 3"	"no"	"shared"	"cluster 8"
"ENSMUSG00000037851"	1.05138728116007	0.0109570664424208	0.0667259502314159	-0.00420582760232653	0.655473561456427	"105148"	"Iars"	"isoleucine-tRNA synthetase"	"no"	"others"	"cluster 3"
"ENSMUSG00000021453"	1.00697189669382	0.136105119188985	0.414709034256929	0.000350288992290326	0.249337348516883	"23882"	"Gadd45g"	"growth arrest and DNA-damage-inducible 45 gamma"	"no"	"others"	"cluster 3"
"ENSMUSG00000025870"	-1.4602326965088	-0.362211435446653	-0.691462746365729	-0.0108624986548658	-0.746533204462239	"56795"	"Arl10"	"ADP-ribosylation factor-like 10"	"no"	"others"	"cluster 7"
"ENSMUSG00000025868"	-1.22542898910139	-0.659915252176018	0.0214822043703139	-0.00578695903296482	-1.10413153973125	"67044"	"Higd2a"	"HIG1 domain family, member 2A"	"no"	"others"	"cluster 7"
"ENSMUSG00000035711"	0.308734191787152	1.2372905789793	0.504448014629177	0.00195980352742465	1.04591629923081	"27261"	"Dok3"	"docking protein 3"	"no"	"others"	"cluster 4"
"ENSMUSG00000035493"	2.79315773544055	1.81172019731924	1.66353741587502	0.00881344325563709	0.869150582217682	"21810"	"Tgfbi"	"transforming growth factor, beta induced"	"no"	"shared"	"cluster 1"
"ENSMUSG00000021555"	-1.10895925054611	-0.513102707974856	-0.480590991007784	-0.00356994654923648	-1.24792252469275	"78689"	"Naa35"	"N(alpha)-acetyltransferase 35, NatC auxiliary subunit"	"no"	"others"	"cluster 7"
"ENSMUSG00000021556"	-1.43829434459308	-0.568028335114051	-0.60357005690627	-0.00429699504059413	-0.595752908875648	"105348"	"Golm1"	"golgi membrane protein 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000021477"	0.518972901672739	0.542025012387937	1.47296669044086	0.00574765371263509	1.1237500262051	"13039"	"Ctsl"	"cathepsin L"	"no"	"others"	"cluster 4"
"ENSMUSG00000021595"	1.41261304479047	0.533564851967885	-0.0110929450326639	0.000680896125894071	0.15581900607593	"28114"	"Nsun2"	"NOL1/NOP2/Sun domain family member 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000005583"	-1.15936991530576	-0.367080346744231	-1.2999558368516	-0.00499344602208627	-0.96222326613533	"17260"	"Mef2c"	"myocyte enhancer factor 2C"	"no"	"others"	"cluster 7"
"ENSMUSG00000042082"	-1.58504257720059	-0.688675945450572	-0.78120076647056	-0.00377763736703457	-1.16885235710294	"11881"	"Arsb"	"arylsulfatase B"	"no"	"others"	"cluster 7"
"ENSMUSG00000045312"	-1.67272819326075	-0.536098540472773	-0.450355263560122	0.000904735766537684	-0.297345902127545	"218454"	"Lhfpl2"	"lipoma HMGIC fusion partner-like 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000021687"	1.09365758978818	-0.0279756819360453	0.42611950130165	0.00132671486488884	0.107092689579899	"107767"	"Scamp1"	"secretory carrier membrane protein 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000078945"	0.923423819645837	0.265336756197281	0.773279604148339	0.00400006697751423	1.11043343560887	"17948"	"Naip2"	"NLR family, apoptosis inhibitory protein 2"	"no"	"others"	"cluster 4"
"ENSMUSG00000021624"	-2.86094602147328	-0.5240942679297	-0.538533933385999	-0.00531617705579244	-2.05718765258864	"17079"	"Cd180"	"CD180 antigen"	"no"	"shared"	"cluster 8"
"ENSMUSG00000021756"	-0.6889643717222	-0.342529125435718	-1.11623870746832	-0.20112115128821	-0.820798561506894	"16195"	"Il6st"	"interleukin 6 signal transducer"	"no"	"others"	"cluster 7"
"ENSMUSG00000047789"	-1.02097139702224	-0.284204822040715	-0.208674875363525	-0.0154528982780418	-0.147785810571544	"268706"	"Slc38a9"	"solute carrier family 38, member 9"	"no"	"others"	"cluster 6"
"ENSMUSG00000020593"	-2.92452061771123	-0.555806887373452	-0.644270603518307	-0.00345297723632024	-0.601252033092003	"14245"	"Lpin1"	"lipin 1"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000020580"	-1.55133044190176	-0.289680437653254	-0.826441736989269	0.000438742284579666	-0.812594939638283	"19878"	"Rock2"	"Rho-associated coiled-coil containing protein kinase 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000020571"	0.142616298785328	0.012851465045687	1.24559705785113	0.00484919370380926	0.839900738181758	"71853"	"Pdia6"	"protein disulfide isomerase associated 6"	"no"	"others"	"cluster 4"
"ENSMUSG00000020641"	2.78574366661919	2.70132442928849	3.22722423652804	-0.00276999638365679	-0.142978301496483	"58185"	"Rsad2"	"radical S-adenosyl methionine domain containing 2"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000035133"	-1.86555879520572	-0.181374618472606	-1.06890689169824	-0.000129215925595881	-0.712701957203831	"11855"	"Arhgap5"	"Rho GTPase activating protein 5"	"no"	"PC1"	"cluster 7"
"ENSMUSG00000021025"	2.28738847285126	1.80673240077917	0.905799296681728	-0.00916570306329626	-0.00518653469877842	"18035"	"Nfkbia"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"	"no"	"PC2"	"cluster 2"
"ENSMUSG00000043998"	1.05883238006248	0.102708161400832	0.290116382417161	0.00540338494822117	0.752902778161784	"217664"	"Mgat2"	"mannoside acetylglucosaminyltransferase 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000048118"	-1.67815474277159	-0.135696744327993	-0.590847726323983	0.0363059655793104	-0.681422155586171	"238247"	"Arid4a"	"AT rich interactive domain 4A (RBP1-like)"	"no"	"others"	"cluster 7"
"ENSMUSG00000021127"	1.12762661653955	0.185479665414023	-0.383992907021855	-0.00227630968883346	-0.261588797418986	"12192"	"Zfp36l1"	"zinc finger protein 36, C3H type-like 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000021133"	1.21489360663982	0.480456402321346	1.05995788489286	0.0291738944215434	0.687161802506289	"217684"	"Susd6"	"sushi domain containing 6"	"no"	"others"	"cluster 4"
"ENSMUSG00000042700"	-1.40154961486293	-0.357849875774845	-0.301976031565677	-0.0119244828318612	-0.457991173234777	"217692"	"Sipa1l1"	"signal-induced proliferation-associated 1 like 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000021224"	-1.77582282299798	-0.865510967346235	-0.580383015141568	-0.00581191540372869	-0.685753571045838	"18222"	"Numb"	"NUMB endocytic adaptor protein"	"no"	"others"	"cluster 7"
"ENSMUSG00000079036"	1.42550022640364	0.579251317617436	0.1631856321627	-0.00915238547840229	0.341911942694446	"211064"	"Alkbh1"	"alkB homolog 1, histone H2A dioxygenase"	"no"	"others"	"cluster 3"
"ENSMUSG00000021886"	3.22307271718506	2.47802340431092	1.27610019018154	0.00691767875749581	2.40784994501404	"14744"	"Gpr65"	"G-protein coupled receptor 65"	"no"	"shared"	"cluster 1"
"ENSMUSG00000033713"	-1.00942829952819	0.444069744776038	-0.972442148123917	-0.0103420306825947	-0.596813724205797	"71375"	"Foxn3"	"forkhead box N3"	"no"	"others"	"cluster 7"
"ENSMUSG00000001175"	0.313524247061254	0.395499284149597	1.06856701060507	-0.000504575432628154	0.428048672954797	"12313"	"Calm1"	"calmodulin 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000021200"	-1.7146576361066	-0.957539346246836	-1.31655140226298	-0.0289775289919329	-1.26586334372782	"65256"	"Asb2"	"ankyrin repeat and SOCS box-containing 2"	"no"	"PC1"	"cluster 7"
"ENSMUSG00000041645"	1.07501488451988	0.400408513644993	0.336080267431422	0.00151953611210598	0.119322542303754	"27225"	"Ddx24"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"	"no"	"others"	"cluster 3"
"ENSMUSG00000079017"	0.171243349270188	0.516679856981132	2.82655452752761	0.00182679752228597	0.157440491735969	"76933"	"Ifi27l2a"	"interferon, alpha-inducible protein 27 like 2A"	"no"	"PC2"	"cluster 4"
"ENSMUSG00000021281"	2.197698092622	0.528600197475502	-0.10348409174603	-0.00164053520986651	0.649176810567548	"21928"	"Tnfaip2"	"tumor necrosis factor, alpha-induced protein 2"	"no"	"shared"	"cluster 3"
"ENSMUSG00000021282"	1.05479603664022	0.524482354121738	-0.239345409303282	0.00140497475866313	-0.103629169681941	"217869"	"Eif5"	"eukaryotic translation initiation factor 5"	"no"	"others"	"cluster 3"
"ENSMUSG00000001270"	-1.26254930537405	-0.460201552563579	0.0282709999966453	-0.00895023693511398	-0.546182600019621	"12709"	"Ckb"	"creatine kinase, brain"	"no"	"others"	"cluster 6"
"ENSMUSG00000052160"	-1.85260067712517	-0.32430211664598	0.271355731521857	-0.0012703455774793	-0.81274242655517	"104759"	"Pld4"	"phospholipase D family, member 4"	"no"	"PC2"	"cluster 7"
"ENSMUSG00000076617"	-3.11525915219124	-0.804433008176815	-0.686424311777818	-0.018428789128239	-1.9628521278868	NA	"13544"	NA	"no"	"others"	"cluster 8"
"ENSMUSG00000064373"	-1.41386271481587	-0.69071388355689	-0.356533019994567	0.00161606625044487	-0.888714051904992	"20363"	"Selenop"	"selenoprotein P"	"no"	"others"	"cluster 7"
"ENSMUSG00000022186"	-2.23329251095029	-0.455385238869076	-0.437514715048941	-0.00261522736724826	-0.711171054338089	"67041"	"Oxct1"	"3-oxoacid CoA transferase 1"	"no"	"others"	"cluster 7"
